horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,bias
1m,421,0.04,0.175,0.03877103713793608,0.05061353274110433,0.04709998630260168,-0.0012289628620639204
1m,421,0.05,0.14,0.04632508760616066,0.04577984591436014,0.047125364187227285,-0.0036749123938393455
1m,421,0.07,0.29,0.06613664952871987,0.046864340051150116,0.04655910380542593,-0.0038633504712801414
1m,421,0.1,0.535,0.09523300826448938,0.046276503166985165,0.04715193055177151,-0.004766991735510623
1m,421,0.12,0.735,0.11924497561179576,0.045615575410973525,0.046372716839531904,-0.0007550243882042396
1m,421,0.15,0.845,0.1459623297529659,0.053294274031137484,0.04624251853050074,-0.004037670247034081
1m,421,0.2,0.99,0.1923722936169323,0.04646728572274066,0.04552329518055975,-0.0076277063830677005
1m,421,0.25,1.0,0.24280564137037103,0.047287311087627515,0.045069905688704164,-0.007194358629628972
1m,421,0.3,1.0,0.2853796454583905,0.04735857357242471,0.04374306292639405,-0.014620354541609482
1m,421,0.4,1.0,0.38780305298825857,0.04019560181151039,0.04113897487229783,-0.012196947011741455
3m,180,0.0,0.02,-0.007942436494953551,0.07272218595689256,0.06891864834603621,-0.007942436494953551
3m,180,0.01,0.06,0.011894122246571397,0.07334597641472841,0.0691158080931437,0.0018941222465713968
3m,180,0.02,0.03,0.008599524676687554,0.07518603385345658,0.06898834321585089,-0.011400475323312446
3m,180,0.03,0.095,0.03268923937981626,0.07615672346535263,0.06826322574895011,0.002689239379816258
3m,180,0.04,0.125,0.04187206395259114,0.0822793809628094,0.06829311903245991,0.0018720639525911381
3m,180,0.05,0.14,0.049280471619494434,0.07467393089863804,0.06885329236461914,-0.0007195283805055686
3m,180,0.07,0.17,0.06724421535644105,0.07100626602896998,0.06891047303110824,-0.0027557846435589534
3m,180,0.1,0.245,0.08875906663785921,0.07362484762822843,0.06861053808795382,-0.011240933362140798
3m,180,0.12,0.425,0.11921124108768791,0.0754741519895532,0.06840958954053657,-0.0007887589123120875
3m,180,0.15,0.535,0.13667393026533742,0.07162226266138821,0.06786611295354314,-0.013326069734662577
3m,180,0.2,0.835,0.19230290029527666,0.0654156940536705,0.06716794920984337,-0.007697099704723348
3m,180,0.25,0.91,0.23484798913546714,0.06344608901207006,0.06480045178068625,-0.015152010864532856
3m,180,0.3,0.985,0.28631266397111027,0.06988904469995004,0.06342516388362127,-0.013687336028889718
3m,180,0.4,1.0,0.38885669310781196,0.0643845380712365,0.05904701731533502,-0.011143306892188065
6m,94,0.0,0.055,0.004804248094498427,0.10756186793266505,0.08820666074740112,0.004804248094498427
6m,94,0.01,0.065,0.0014327926886536857,0.10749283535605057,0.08856138342857196,-0.008567207311346314
6m,94,0.02,0.05,0.016368601668894266,0.09946863700650198,0.08824852956697686,-0.003631398331105734
6m,94,0.03,0.08,0.03806877867283169,0.09619462239953284,0.08878259407885913,0.008068778672831692
6m,94,0.04,0.055,0.022823176678828157,0.0998935151469459,0.08814836890824612,-0.017176823321171843
6m,94,0.05,0.165,0.05819961709352308,0.10214420881224642,0.08727895304874494,0.008199617093523077
6m,94,0.07,0.14,0.05917248853086731,0.10797568032532509,0.087487152781692,-0.010827511469132696
6m,94,0.1,0.22,0.09486081710797237,0.10234049235731957,0.08692733799437652,-0.005139182892027638
6m,94,0.12,0.29,0.10871906946501461,0.09990538316155659,0.086646313432904,-0.011280930534985384
6m,94,0.15,0.36,0.13365191633854712,0.10468230132977814,0.08673692153135543,-0.016348083661452878
6m,94,0.2,0.56,0.18893884333345368,0.09817081181990273,0.08566642913076461,-0.011061156666546335
6m,94,0.25,0.75,0.24276566846078815,0.10217221560971725,0.08443679062853501,-0.007234331539211852
6m,94,0.3,0.84,0.28022858794205824,0.10093970904186236,0.08345699718204724,-0.01977141205794175
6m,94,0.4,0.98,0.3818684391142578,0.08956579124571247,0.07791267666076639,-0.01813156088574225
1y,47,0.0,0.095,-0.00013991674375578135,0.14517455545266686,0.10078531462639281,-0.00013991674375578135
1y,47,0.01,0.125,0.0010210453283996312,0.16535292940671534,0.1018160957185213,-0.00897895467160037
1y,47,0.02,0.125,0.0272109158186864,0.14076533192163956,0.1020488364828061,0.007210915818686398
1y,47,0.03,0.125,0.03548392691951897,0.1326686286691058,0.10113654700017712,0.005483926919518968
1y,47,0.04,0.16,0.03430735430157262,0.14455973720254595,0.09944089127507988,-0.0056926456984273816
1y,47,0.05,0.19,0.05216870952821461,0.15474364219900044,0.09883332972300163,0.0021687095282146088
1y,47,0.07,0.175,0.05390148011100832,0.1476138036773022,0.10055686634722366,-0.016098519888991684
1y,47,0.1,0.235,0.09871241905642922,0.14249870927966127,0.10126435088555855,-0.0012875809435707875
1y,47,0.12,0.32,0.12468316373728029,0.1476692518120098,0.10082346208890229,0.0046831637372802964
1y,47,0.15,0.335,0.1391177150786309,0.14823673872178694,0.0997237457485176,-0.010882284921369084
1y,47,0.2,0.53,0.20398647086031452,0.14341129825231444,0.09717187242836622,0.003986470860314506
1y,47,0.25,0.59,0.22626561054579092,0.14292150092533662,0.09663784077597183,-0.02373438945420908
1y,47,0.3,0.8,0.2949427613320999,0.14526837380058788,0.09133008358155077,-0.005057238667900088
1y,47,0.4,0.895,0.3638540703052729,0.1271851661917868,0.09040626769640941,-0.03614592969472713
